,0
1980,3.4
1981,3.0
1982,2.6
1983,2.4
1984,2.2
1985,2.0
1986,1.8
1987,1.6
1988,1.5
1989,1.7
1990,2.2
1991,2.6
1992,2.9
1993,3.2
1994,3.4
1995,3.6
1996,3.7999997
1997,3.9
1998,4.0
1999,4.2
2000,4.3
2001,4.4
2002,4.5
2003,4.6
2004,4.7
2005,4.8
2006,4.9
2007,4.3
2008,3.9
2009,3.4
2010,3.1
2011,2.8
2012,2.5
2013,2.3
2014,2.1
2015,1.8999999
2016,1.7
2017,1.6
2018,1.4
2019,1.6
2020,2.2
2021,2.6
2022,2.9
2023,3.2
2024,3.4
2025,3.6
2026,3.7999997
2027,4.1
2028,4.2
2029,3.7999997
2030,3.3
2031,2.8
2032,3.0
2033,2.7
2034,2.4
2035,2.2
2036,2.3
2037,1.7
2038,1.5
2039,1.3
2040,1.7
2041,1.7
2042,1.8
2043,2.1
2044,2.0
2045,1.6
2046,2.1
2047,2.9
2048,2.4
2049,2.1
2050,1.8
2051,1.7
2052,2.6
2053,3.1
2054,3.5
2055,3.6999998
2056,3.9
2057,4.0
2058,5.2
2059,5.0
2060,4.4
2061,3.9
2062,3.5
2063,3.2
2064,3.9
2065,4.1
2066,3.7999997
2067,3.4
2068,3.2
2069,2.9
2070,2.7
2071,2.5
2072,2.3
2073,2.1
2074,2.0
2075,1.8
2076,1.7
2077,1.4
2078,1.3
2079,1.2
2080,1.1
2081,1.8999999
2082,2.4
2083,2.7
2084,3.2
2085,3.5
2086,3.7999997
2087,3.9
2088,4.1
2089,4.3
2090,4.5
2091,4.7
2092,4.8
2093,4.5
2094,4.0
2095,3.6999998
2096,3.4
2097,3.1
2098,2.9
2099,2.7
2100,2.5
2101,2.4
2102,2.2
2103,2.1
2104,2.0
