timestamp,temperature
2018-05-16 00:23:03,3.2
2018-05-16 00:26:03,2.9
2018-05-16 00:29:03,2.7
2018-05-16 00:32:03,2.5
2018-05-16 00:35:03,2.3
2018-05-16 00:38:03,2.2
2018-05-16 00:41:03,2.0
2018-05-16 00:44:03,1.8
2018-05-16 00:47:03,1.6
2018-05-16 00:50:03,1.5
2018-05-16 00:53:03,1.4
2018-05-16 00:56:03,1.3
2018-05-16 00:59:03,1.5
2018-05-16 01:02:03,2.1
2018-05-16 01:05:03,2.5
2018-05-16 01:08:03,2.9
2018-05-16 01:11:03,3.2
2018-05-16 01:14:03,3.4
2018-05-16 01:17:03,3.7
2018-05-16 01:20:03,3.9
2018-05-16 01:23:03,3.9
2018-05-16 01:26:03,4.1
2018-05-16 01:29:03,4.3
2018-05-16 01:32:03,4.4
2018-05-16 01:35:03,4.5
2018-05-16 01:38:03,4.6
2018-05-16 01:41:03,4.7
2018-05-16 01:44:03,4.8
2018-05-16 01:47:03,4.9
2018-05-16 01:50:03,5.0
2018-05-16 01:53:03,5.1
2018-05-16 01:56:03,5.2
2018-05-16 01:59:03,5.3
2018-05-16 02:02:03,4.8
2018-05-16 02:05:03,4.3
2018-05-16 02:08:03,3.9
2018-05-16 02:11:03,3.5
2018-05-16 02:14:03,3.2
2018-05-16 02:17:03,3.0
2018-05-16 02:20:03,2.8
2018-05-16 02:23:03,2.5
2018-05-16 02:26:03,2.3
2018-05-16 02:29:03,2.2
2018-05-16 02:32:03,2.0
2018-05-16 02:35:03,1.8
2018-05-16 02:38:03,1.7
2018-05-16 02:41:03,1.5
2018-05-16 02:44:03,1.4
2018-05-16 02:50:03,1.6
2018-05-16 02:53:03,2.2
2018-05-16 02:56:03,2.6
2018-05-16 02:59:03,3.0
2018-05-16 03:02:03,3.3
2018-05-16 03:05:03,3.5
2018-05-16 03:08:03,3.7
2018-05-16 03:11:03,3.9
2018-05-16 03:14:03,3.9
2018-05-16 03:17:03,4.1
2018-05-16 03:23:03,4.4
2018-05-16 03:32:03,4.8
2018-05-16 03:35:03,4.9
2018-05-16 03:38:03,5.0
2018-05-16 03:41:03,4.3
2018-05-16 03:44:03,3.9
2018-05-16 03:47:03,3.4
2018-05-16 03:50:03,3.1
2018-05-16 03:53:03,2.8
2018-05-16 03:56:03,2.6
2018-05-16 03:59:03,2.4
2018-05-16 04:02:03,2.2
2018-05-16 04:05:03,2.0
2018-05-16 04:08:03,1.9
2018-05-16 04:11:03,1.7
2018-05-16 04:14:03,1.6
2018-05-16 04:17:03,1.4
2018-05-16 04:20:03,1.3
2018-05-16 04:23:03,1.7
2018-05-16 04:26:03,2.2
2018-05-16 04:29:03,2.6
2018-05-16 04:32:03,3.0
2018-05-16 04:35:03,3.2
2018-05-16 04:38:03,3.5
2018-05-16 04:41:03,3.7
2018-05-16 04:44:03,3.9
2018-05-16 04:47:03,3.9
2018-05-16 04:50:03,4.1
2018-05-16 04:53:03,4.3
2018-05-16 04:56:03,4.4
2018-05-16 04:59:03,4.5
2018-05-16 05:02:03,4.6
2018-05-16 05:05:03,4.7
2018-05-16 05:08:03,4.8
2018-05-16 05:11:03,4.9
2018-05-16 05:14:03,4.7
2018-05-16 05:17:03,4.0
2018-05-16 05:20:03,3.6
2018-05-16 05:23:03,3.2
2018-05-16 05:26:03,3.0
2018-05-16 05:29:03,2.7
2018-05-16 05:32:03,2.5
2018-05-16 05:35:03,2.3
2018-05-16 05:38:03,2.1
2018-05-16 05:41:03,2.4
2018-05-16 05:44:03,2.9
2018-05-16 05:47:03,3.3
2018-05-16 05:50:03,3.6
2018-05-16 05:53:03,3.9
2018-05-16 05:56:03,3.9
2018-05-16 05:59:03,4.2
2018-05-16 06:02:03,4.1
2018-05-16 06:05:03,3.6
2018-05-16 06:08:03,3.1
2018-05-16 06:11:03,2.8
2018-05-16 06:14:03,2.5
2018-05-16 06:17:03,2.3
2018-05-16 06:20:03,2.1
2018-05-16 06:23:03,1.9
2018-05-16 06:26:03,1.7
2018-05-16 06:29:03,1.6
2018-05-16 06:32:03,1.5
2018-05-16 06:35:03,1.4
2018-05-16 06:38:03,2.0
2018-05-16 06:41:03,2.5
2018-05-16 06:44:03,2.9
2018-05-16 06:47:03,3.2
2018-05-16 06:50:03,3.4
2018-05-16 06:53:03,3.6
2018-05-16 06:56:03,3.8
2018-05-16 06:59:03,3.9
2018-05-16 07:02:03,4.0
2018-05-16 07:05:03,4.2
2018-05-16 07:08:03,4.3
2018-05-16 07:11:03,4.4
2018-05-16 07:14:03,4.5
2018-05-16 07:17:03,4.6
2018-05-16 07:20:03,4.7
2018-05-16 07:23:03,4.8
2018-05-16 07:26:03,4.9
2018-05-16 07:29:03,4.8
2018-05-16 07:32:03,4.1
2018-05-16 07:35:03,3.7
2018-05-16 07:38:03,3.3
2018-05-16 07:41:03,3.0
2018-05-16 07:44:03,2.8
2018-05-16 07:47:03,2.5
2018-05-16 07:50:03,2.3
2018-05-16 07:53:03,2.2
2018-05-16 07:56:03,2.0
2018-05-16 07:59:03,1.8
2018-05-16 08:02:03,1.6
2018-05-16 08:05:03,1.5
2018-05-16 08:08:03,1.3
2018-05-16 08:11:03,1.4
2018-05-16 08:14:03,2.0
2018-05-16 08:17:03,2.4
2018-05-16 08:20:03,2.8
2018-05-16 08:23:03,3.1
2018-05-16 08:26:03,3.4
2018-05-16 08:29:03,3.6
2018-05-16 08:32:03,3.8
2018-05-16 08:35:03,3.9
2018-05-16 08:38:03,4.0
2018-05-16 08:41:03,4.2
2018-05-16 08:44:03,4.3
2018-05-16 08:47:03,4.4
2018-05-16 08:50:03,4.5
2018-05-16 08:53:03,4.9
2018-05-16 09:08:03,5.6
2018-05-16 09:11:03,2.9
2018-05-16 09:14:03,2.9
2018-05-16 09:17:03,2.6
2018-05-16 09:20:03,2.8
2018-05-16 09:23:03,2.8
2018-05-16 09:26:03,2.4
2018-05-16 09:29:03,2.1
2018-05-16 09:32:03,1.9
2018-05-16 09:35:03,2.0
2018-05-16 09:38:03,1.7
2018-05-16 09:41:03,1.7
2018-05-16 09:44:03,2.4
2018-05-16 09:47:03,3.1
2018-05-16 09:50:03,3.6
2018-05-16 09:53:03,5.3
2018-05-16 09:56:03,5.6
2018-05-16 10:02:03,6.6
2018-05-16 10:05:03,5.7
2018-05-16 10:11:03,4.7
2018-05-16 10:14:03,4.3
2018-05-16 10:17:03,3.9
2018-05-16 10:20:03,3.7
2018-05-16 10:23:03,3.3
2018-05-16 10:26:03,3.0
2018-05-16 10:29:03,2.8
2018-05-16 10:32:03,2.5
2018-05-16 10:35:03,3.0
2018-05-16 10:38:03,3.2
2018-05-16 10:41:03,3.2
2018-05-16 10:44:03,2.9
2018-05-16 10:47:03,2.6
2018-05-16 10:50:03,2.4
2018-05-16 10:53:03,2.2
2018-05-16 10:59:03,1.9
2018-05-16 11:02:03,2.8
2018-05-16 11:05:03,2.5
2018-05-16 11:08:03,2.3
2018-05-16 11:11:03,2.0
2018-05-16 11:14:03,1.9
2018-05-16 11:17:03,1.7
2018-05-16 11:20:03,1.5
2018-05-16 11:23:03,1.4
2018-05-16 11:26:03,1.2
2018-05-16 11:29:03,1.0
2018-05-16 11:32:03,1.0
2018-05-16 11:35:03,1.2
2018-05-16 11:38:03,2.0
2018-05-16 11:41:03,2.3
2018-05-16 11:44:03,2.6
2018-05-16 11:47:03,2.9
2018-05-16 11:50:03,3.3
2018-05-16 11:53:03,3.6
2018-05-16 11:56:03,3.9
2018-05-16 11:59:03,4.0
2018-05-16 12:02:03,4.2
2018-05-16 12:05:03,4.4
2018-05-16 12:08:03,4.5
2018-05-16 12:11:03,4.7
2018-05-16 12:14:03,4.8
2018-05-16 12:17:03,4.8
2018-05-16 12:20:03,4.1
2018-05-16 12:23:03,3.8
2018-05-16 12:26:03,3.4
2018-05-16 12:29:03,3.1
2018-05-16 12:32:03,2.9
2018-05-16 12:38:03,2.5
2018-05-16 12:41:03,2.3
2018-05-16 12:44:03,2.2
2018-05-16 12:47:03,2.0
2018-05-16 12:50:03,1.9
2018-05-16 12:53:03,1.8
2018-05-16 12:56:03,1.6
2018-05-16 12:59:03,1.5
2018-05-16 13:02:03,1.4
2018-05-16 13:05:03,1.7
2018-05-16 13:08:03,1.6
2018-05-16 13:11:03,1.4
2018-05-16 13:14:03,1.5
2018-05-16 13:17:03,1.3
2018-05-16 13:20:03,2.0
2018-05-16 13:23:03,2.4
2018-05-16 13:26:03,2.7
2018-05-16 13:29:03,3.0
2018-05-16 13:32:03,3.8
2018-05-16 13:35:03,4.2
2018-05-16 13:38:03,3.8
2018-05-16 13:41:03,3.4
2018-05-16 13:44:03,3.9
