id,eui,timestamp,data,humidity,batt,temperature
51198,3430363071377D14,2018/5/16 17:41:03,00cf00104b,75,94,1.6
51201,3430363071377D14,2018/5/16 17:44:03,00cf00124f,79,94,1.8
51204,3430363071377D14,2018/5/16 17:47:03,00cf001855,85,94,2.4
51207,3430363071377D14,2018/5/16 17:50:03,00cf001c58,88,94,2.8
51210,3430363071377D14,2018/5/16 17:53:03,00cf001f5b,91,94,3.1
51213,3430363071377D14,2018/5/16 17:56:03,00cf00235e,94,94,3.5
51216,3430363071377D14,2018/5/16 17:59:03,00cf00275f,95,94,3.9
51219,3430363071377D14,2018/5/16 18:02:03,00cf002960,96,94,4.1
51222,3430363071377D14,2018/5/16 18:05:03,00cf002b61,97,94,4.3
51225,3430363071377D14,2018/5/16 18:08:03,00cf00265e,94,94,3.8
51234,3430363071377D14,2018/5/16 18:11:03,00cf00215b,91,94,3.3
51233,3430363071377D14,2018/5/16 18:14:03,00cf001e56,86,94,3
51236,3430363071377D14,2018/5/16 18:17:03,00cf001b52,82,94,2.7
51239,3430363071377D14,2018/5/16 18:20:03,00cf001a4f,79,94,2.6
51248,3430363071377D14,2018/5/16 18:23:03,00cf00184d,77,94,2.4
51259,3430363071377D14,2018/5/16 18:26:03,00cf001c59,89,94,2.8
51272,3430363071377D14,2018/5/16 18:29:03,00cf002861,97,94,4
51285,3430363071377D14,2018/5/16 18:32:03,00cf002f62,98,94,4.7
51307,3430363071377D14,2018/5/16 18:38:03,00cf003864,100,94,5.6
51331,3430363071377D14,2018/5/16 18:44:03,00cf003d64,100,94,6.1
51343,3430363071377D14,2018/5/16 18:47:03,00cf003f65,101,94,6.3
51356,3430363071377D14,2018/5/16 18:50:03,00d0004165,101,96,6.5
51369,3430363071377D14,2018/5/16 18:53:03,00d0004365,101,96,6.7
51382,3430363071377D14,2018/5/16 18:56:03,00d0004064,100,96,6.4
51395,3430363071377D14,2018/5/16 18:59:03,00d0003b64,100,96,5.9
51407,3430363071377D14,2018/5/16 19:02:03,00d0003864,100,96,5.6
51420,3430363071377D14,2018/5/16 19:05:03,00d0003664,100,96,5.4
