time,data
2018-11-23T03:14:26+08:00,63f8581d270d
2018-11-23T03:19:28+08:00,57f8cd1c270d
2018-11-23T03:24:30+08:00,54f8ba1c270d
2018-11-23T03:29:32+08:00,5bf8fc1c270d
2018-11-23T03:34:32+08:00,62f84b1d270d
2018-11-23T03:39:32+08:00,5ff84a1d270d
2018-11-23T03:44:34+08:00,52f8bf1c270d
2018-11-23T03:49:35+08:00,51f8bd1c270d
2018-11-23T03:54:38+08:00,5bf8071d300d
2018-11-23T03:59:39+08:00,62f8561d270d
2018-11-23T04:04:44+08:00,5bf8421d270d
2018-11-23T04:09:46+08:00,50f8bc1c270d
2018-11-23T04:14:48+08:00,51f8ca1c300d
2018-11-23T04:19:53+08:00,56f8141d270d
2018-11-23T04:24:58+08:00,60f8611d270d
2018-11-23T04:29:59+08:00,56f8341d2a0d
2018-11-23T04:35:02+08:00,4bf8b61c300d
2018-11-23T04:40:05+08:00,51f8d01c270d
2018-11-23T04:45:09+08:00,54f81d1d270d
2018-11-23T04:50:10+08:00,5df8641d270d
2018-11-23T04:55:14+08:00,52f8271d270d
2018-11-23T05:00:16+08:00,49f8b51c270d
2018-11-23T05:05:17+08:00,4ef8d71c270d
2018-11-23T05:10:18+08:00,56f8241d270d
2018-11-23T05:15:20+08:00,5bf86c1d300d
2018-11-23T05:20:23+08:00,51f8271d270d
2018-11-23T05:25:26+08:00,48f8b81c270d
2018-11-23T05:30:26+08:00,4bf8dc1c270d
2018-11-23T05:35:28+08:00,56f82b1d270d
2018-11-23T05:40:32+08:00,5bf8701d270d
2018-11-23T05:45:33+08:00,4ff81e1d270d
2018-11-23T05:50:38+08:00,48f8b81c270d
2018-11-23T05:55:39+08:00,4af8e11c270d
2018-11-23T06:00:42+08:00,52f82d1d270d
2018-11-23T06:05:42+08:00,5af8731d270d
2018-11-23T06:10:47+08:00,4bf8131d270d
2018-11-23T06:15:51+08:00,45f8bb1c270d
2018-11-23T06:20:52+08:00,4bf8eb1c270d
2018-11-23T06:25:54+08:00,52f83a1d270d
2018-11-23T06:30:58+08:00,58f8771d270d
2018-11-23T06:35:59+08:00,4af80d1d270d
2018-11-23T06:41:04+08:00,42f8b81c270d
2018-11-23T06:46:07+08:00,49f8ed1c270d
2018-11-23T06:51:08+08:00,52f83a1d270d
2018-11-23T06:56:13+08:00,58f8781d270d
2018-11-23T07:01:16+08:00,49f80e1d2a0d
2018-11-23T07:06:17+08:00,45f8bb1c270d
2018-11-23T07:11:18+08:00,49f8ef1c270d
2018-11-23T07:16:22+08:00,50f83d1d270d
2018-11-23T07:21:23+08:00,56f8781d270d
2018-11-23T07:26:26+08:00,45f8061d270d
2018-11-23T07:31:28+08:00,41f8ba1c270d
2018-11-23T07:36:31+08:00,45f8f01c230d
2018-11-23T07:41:34+08:00,50f83b1d1e0d
2018-11-23T07:46:37+08:00,54f8781d270d
2018-11-23T07:51:42+08:00,45f8091d270d
2018-11-23T07:56:46+08:00,41f8be1c270d
2018-11-23T10:38:21+08:00,74f86e1d270d
2018-11-23T10:43:22+08:00,71f8391d270d
2018-11-23T10:48:24+08:00,75f8651d270d
2018-11-23T10:53:28+08:00,7ef8cd1d2a0d
2018-11-23T10:58:31+08:00,8af8201e270d
2018-11-23T11:03:34+08:00,93f80d1e270d
2018-11-23T11:08:38+08:00,9cf8221e270d
2018-11-23T11:13:41+08:00,a7f83f1e270d
2018-11-23T11:18:43+08:00,aaf8271e2a0d
2018-11-23T11:23:48+08:00,acf8f21d2a0d
2018-11-23T11:28:51+08:00,bbf82c1e2a0d
2018-11-23T11:33:54+08:00,c3f84b1e2a0d
2018-11-23T11:38:57+08:00,b9f8c11d2a0d
2018-11-23T11:44:02+08:00,b8f87f1d2a0d
2018-11-23T11:49:03+08:00,c3f8bd1d2a0d
2018-11-23T11:54:07+08:00,c7f8051e330d
2018-11-23T11:59:09+08:00,bef88f1d2a0d
2018-11-23T12:04:10+08:00,c2f86a1d2f0d
2018-11-23T12:09:12+08:00,c6f89a1d2a0d
2018-11-23T12:14:13+08:00,c1f88b1d2a0d
2018-11-23T12:19:18+08:00,aff8011d2a0d
2018-11-23T12:24:20+08:00,aff8061d2a0d
2018-11-23T12:29:25+08:00,b3f8511d270d
2018-11-23T12:34:27+08:00,aff8511d2a0d
2018-11-23T12:39:28+08:00,9ef8cd1c2a0d
