������,Ӧ�ռ�¼,�յ���¼,ʱ��,ĩ��¼,�׼�¼
2018/12/3 Сʱ: 10,2018-12-03 10:03:11,2018-12-03 10:58:38,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 11,2018-12-03 11:03:41,2018-12-03 11:59:21,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 12,2018-12-03 12:04:23,2018-12-03 12:54:57,11.0,26.0,0.5769230769230769
2018/12/3 Сʱ: 13,2018-12-03 13:00:01,2018-12-03 13:55:32,11.0,29.0,0.6206896551724138
2018/12/3 Сʱ: 14,2018-12-03 14:00:35,2018-12-03 14:56:05,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 15,2018-12-03 15:01:08,2018-12-03 15:56:31,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 16,2018-12-03 16:01:35,2018-12-03 16:57:09,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 17,2018-12-03 17:02:12,2018-12-03 17:57:45,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 18,2018-12-03 18:02:47,2018-12-03 18:58:09,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 19,2018-12-03 19:03:10,2018-12-03 19:58:39,11.0,29.0,0.6206896551724138
2018/12/3 Сʱ: 20,2018-12-03 20:03:43,2018-12-03 20:59:10,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 21,2018-12-03 21:04:11,2018-12-03 21:59:36,12.0,29.0,0.5862068965517242
2018/12/3 Сʱ: 22,2018-12-03 22:04:36,2018-12-03 22:55:04,11.0,26.0,0.5769230769230769
2018/12/3 Сʱ: 23,2018-12-03 23:00:05,2018-12-03 23:55:35,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 0,2018-12-04 00:00:40,2018-12-04 00:56:05,11.0,29.0,0.6206896551724138
2018/12/4 Сʱ: 1,2018-12-04 01:01:08,2018-12-04 01:56:40,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 2,2018-12-04 02:01:44,2018-12-04 02:57:20,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 3,2018-12-04 03:02:21,2018-12-04 03:57:55,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 4,2018-12-04 04:02:58,2018-12-04 04:58:34,11.0,29.0,0.6206896551724138
2018/12/4 Сʱ: 5,2018-12-04 05:08:39,2018-12-04 05:58:59,11.0,26.0,0.5769230769230769
2018/12/4 Сʱ: 6,2018-12-04 06:04:02,2018-12-04 06:59:25,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 7,2018-12-04 07:04:28,2018-12-04 07:55:00,11.0,26.0,0.5769230769230769
2018/12/4 Сʱ: 8,2018-12-04 08:00:01,2018-12-04 08:55:28,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 9,2018-12-04 09:00:28,2018-12-04 09:55:58,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 10,2018-12-04 10:00:59,2018-12-04 10:56:33,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 11,2018-12-04 11:01:38,2018-12-04 11:57:09,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 12,2018-12-04 12:02:11,2018-12-04 12:57:38,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 13,2018-12-04 13:02:41,2018-12-04 13:58:18,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 14,2018-12-04 14:03:22,2018-12-04 14:58:51,12.0,29.0,0.5862068965517242
2018/12/4 Сʱ: 15,2018-12-04 15:03:54,2018-12-04 15:59:25,12.0,29.0,0.5862068965517242
