time,data
2018-12-21T21:14:39+08:00,01fa931c1a0d
2018-12-21T21:19:44+08:00,f9f9921c1e0d
2018-12-21T21:24:47+08:00,f2f98a1c160d
2018-12-21T21:29:48+08:00,eaf98d1c1a0d
2018-12-21T21:34:50+08:00,e8f9991c1a0d
2018-12-21T21:39:54+08:00,e0f9a01c160d
2018-12-21T21:45:00+08:00,d9f9961c1a0d
2018-12-21T21:50:02+08:00,d7f9961c1a0d
2018-12-21T21:55:07+08:00,d1f99b1c160d
2018-12-21T22:00:07+08:00,cdf9a41c160d
2018-12-21T22:05:09+08:00,c8f9a31c160d
2018-12-21T22:10:11+08:00,c5f9981c160d
2018-12-21T22:15:12+08:00,bff9991c160d
2018-12-21T22:20:13+08:00,bdf9a01c160d
2018-12-21T22:25:17+08:00,bbf9aa1c0d0d
2018-12-21T22:30:21+08:00,b6f9a01c160d
2018-12-21T22:35:23+08:00,b2f99a1c160d
2018-12-21T22:40:26+08:00,b2f99d1c160d
2018-12-21T22:45:31+08:00,aff9a61c160d
2018-12-21T22:50:34+08:00,aef9a71c160d
2018-12-21T22:55:38+08:00,a7f99d1c160d
2018-12-21T23:00:42+08:00,a4f99a1c160d
2018-12-21T23:05:46+08:00,a4f9a01c160d
2018-12-21T23:10:47+08:00,a2f9a51c160d
2018-12-21T23:15:51+08:00,a1f9a01c160d
2018-12-21T23:20:53+08:00,9cf9941c110d
2018-12-21T23:25:55+08:00,9df9941c0d0d
2018-12-21T23:30:59+08:00,9bf99a1c0d0d
2018-12-21T23:36:02+08:00,9bf9a21c0d0d
2018-12-21T23:41:05+08:00,97f9951c0d0d
2018-12-21T23:46:10+08:00,94f98b1c160d
2018-12-21T23:51:13+08:00,92f98a1c0d0d
2018-12-21T23:56:16+08:00,90f9901c160d
2018-12-22T00:01:17+08:00,8df9901c160d
2018-12-22T00:06:20+08:00,8af9801c090d
2018-12-22T00:11:25+08:00,87f97a1c0d0d
2018-12-22T00:16:25+08:00,87f97e1c0d0d
2018-12-22T00:21:27+08:00,85f9891c0d0d
2018-12-22T00:26:30+08:00,83f98a1c0d0d
2018-12-22T00:31:34+08:00,7cf97c1c0d0d
2018-12-22T00:36:37+08:00,7cf9781c0d0d
2018-12-22T00:41:39+08:00,7cf97c1c0d0d
2018-12-22T00:46:41+08:00,7ef9841c0d0d
2018-12-22T00:51:45+08:00,7bf97b1c0d0d
2018-12-22T00:56:47+08:00,79f96b1c090d
2018-12-22T01:01:47+08:00,78f9691c0d0d
2018-12-22T01:06:50+08:00,75f9721c0d0d
2018-12-22T01:11:52+08:00,74f97b1c0d0d
2018-12-22T01:16:55+08:00,74f9711c0d0d
2018-12-22T01:21:56+08:00,72f9651c0d0d
2018-12-22T01:26:56+08:00,74f9661c0d0d
2018-12-22T01:32:01+08:00,73f96e1c0d0d
2018-12-22T01:37:04+08:00,72f9741c0d0d
2018-12-22T01:42:06+08:00,6ff9681c0d0d
2018-12-22T01:47:08+08:00,6ff95e1c0d0d
2018-12-22T01:52:11+08:00,70f9631c110d
2018-12-22T01:57:15+08:00,6ff96a1c0d0d
2018-12-22T02:02:18+08:00,6cf96e1c110d
2018-12-22T02:07:23+08:00,6cf95e1c0d0d
2018-12-22T02:12:23+08:00,6bf9551c090d
2018-12-22T02:17:24+08:00,6bf95a1c0d0d
2018-12-22T02:22:27+08:00,6bf9651c110d
2018-12-22T02:27:28+08:00,6bf9661c050d
2018-12-22T02:32:29+08:00,6af9561c160d
2018-12-22T02:37:30+08:00,6af94f1c0d0d
2018-12-22T02:42:34+08:00,68f9531c0d0d
2018-12-22T02:47:38+08:00,67f95f1c0d0d
2018-12-22T02:52:42+08:00,68f95d1c0d0d
2018-12-22T02:57:43+08:00,68f94d1c0d0d
2018-12-22T03:02:47+08:00,65f94a1c0d0d
2018-12-22T03:07:49+08:00,65f9511c0d0d
2018-12-22T03:12:52+08:00,65f95b1c0d0d
2018-12-22T03:17:57+08:00,66f9571c0d0d
2018-12-22T03:22:57+08:00,65f9461c0d0d
2018-12-22T03:28:00+08:00,63f9441c160d
2018-12-22T03:33:02+08:00,64f94c1c0d0d
2018-12-22T03:38:03+08:00,66f9561c160d
2018-12-22T03:43:08+08:00,63f94c1c090d
2018-12-22T03:48:10+08:00,61f93f1c160d
2018-12-22T03:53:13+08:00,5ef93f1c0d0d
2018-12-22T03:58:18+08:00,61f9491c0d0d
2018-12-22T04:03:22+08:00,63f9521c0d0d
2018-12-22T04:08:24+08:00,61f9461c0d0d
2018-12-22T04:13:29+08:00,5df9391c0d0d
2018-12-22T04:18:32+08:00,61f93a1c0d0d
2018-12-22T04:23:37+08:00,62f9471c0d0d
2018-12-22T04:28:39+08:00,61f94d1c0d0d
2018-12-22T04:33:41+08:00,5ef93f1c110d
2018-12-22T04:38:42+08:00,60f9351c090d
2018-12-22T04:43:44+08:00,5ef93a1c0d0d
2018-12-22T04:48:47+08:00,5ef9421c0d0d
2018-12-22T04:53:51+08:00,5df9431c120d
2018-12-22T04:58:53+08:00,5ef9361c0d0d
2018-12-22T05:03:59+08:00,5cf92f1c0d0d
2018-12-22T05:09:02+08:00,61f9321c090d
2018-12-22T05:14:06+08:00,5ef93f1c0d0d
2018-12-22T05:19:09+08:00,5ef93b1c090d
2018-12-22T05:24:10+08:00,5cf92b1c090d
2018-12-22T05:29:12+08:00,5cf9281c0d0d
2018-12-22T05:34:16+08:00,5af92e1c0d0d
2018-12-22T05:39:17+08:00,5cf9391c0d0d
2018-12-22T05:44:18+08:00,5ef9321c0d0d
2018-12-22T05:49:22+08:00,5cf9231c0d0d
2018-12-22T05:54:23+08:00,5bf9211c050d
2018-12-22T05:59:26+08:00,5df9291c0d0d
