ʱ��,�׼�¼,ĩ��¼,�յ���¼,Ӧ�ռ�¼,������
2018/12/19 Сʱ: 0,2018-12-19 00:05:00,2018-12-19 00:58:00,10.0,28.0,0.6428571428571428
2018/12/19 Сʱ: 1,2018-12-19 01:04:00,2018-12-19 01:59:00,10.0,29.0,0.6551724137931034
2018/12/19 Сʱ: 2,2018-12-19 02:05:00,2018-12-19 02:54:00,9.0,26.0,0.6538461538461539
2018/12/19 Сʱ: 3,2018-12-19 03:00:00,2018-12-19 03:56:00,10.0,29.0,0.6551724137931034
2018/12/19 Сʱ: 4,2018-12-19 04:02:00,2018-12-19 04:55:00,10.0,28.0,0.6428571428571428
2018/12/19 Сʱ: 5,2018-12-19 05:01:00,2018-12-19 05:53:00,10.0,27.0,0.6296296296296297
2018/12/19 Сʱ: 6,2018-12-19 06:06:00,2018-12-19 06:57:00,9.0,27.0,0.6666666666666667
2018/12/19 Сʱ: 7,2018-12-19 07:02:00,2018-12-19 07:57:00,10.0,29.0,0.6551724137931034
2018/12/19 Сʱ: 8,2018-12-19 08:04:00,2018-12-19 08:53:00,9.0,26.0,0.6538461538461539
2018/12/19 Сʱ: 9,2018-12-19 09:00:00,2018-12-19 09:58:00,10.0,30.0,0.6666666666666667
2018/12/19 Сʱ: 10,2018-12-19 10:04:00,2018-12-19 10:59:00,10.0,29.0,0.6551724137931034
2018/12/19 Сʱ: 11,2018-12-19 11:05:00,2018-12-19 11:57:00,10.0,27.0,0.6296296296296297
2018/12/19 Сʱ: 12,2018-12-19 12:02:00,2018-12-19 12:54:00,9.0,27.0,0.6666666666666667
2018/12/19 Сʱ: 13,2018-12-19 13:00:00,2018-12-19 13:53:00,10.0,28.0,0.6428571428571428
2018/12/19 Сʱ: 14,2018-12-19 14:00:00,2018-12-19 14:56:00,10.0,29.0,0.6551724137931034
2018/12/19 Сʱ: 15,2018-12-19 15:02:00,2018-12-19 15:56:00,10.0,28.0,0.6428571428571428
2018/12/19 Сʱ: 16,2018-12-19 16:02:00,2018-12-19 16:59:00,10.0,30.0,0.6666666666666667
2018/12/19 Сʱ: 17,2018-12-19 17:04:00,2018-12-19 17:59:00,10.0,29.0,0.6551724137931034
2018/12/19 Сʱ: 18,2018-12-19 18:06:00,2018-12-19 18:54:00,9.0,25.0,0.64
2018/12/19 Сʱ: 19,2018-12-19 19:00:00,2018-12-19 19:59:00,11.0,31.0,0.6451612903225806
2018/12/19 Сʱ: 20,2018-12-19 20:05:00,2018-12-19 20:59:00,10.0,28.0,0.6428571428571428
2018/12/19 Сʱ: 21,2018-12-19 21:06:00,2018-12-19 21:58:00,10.0,27.0,0.6296296296296297
2018/12/19 Сʱ: 22,2018-12-19 22:04:00,2018-12-19 22:58:00,10.0,28.0,0.6428571428571428
2018/12/19 Сʱ: 23,2018-12-19 23:03:00,2018-12-19 23:54:00,9.0,27.0,0.6666666666666667
2018/12/20 Сʱ: 0,2018-12-20 00:00:00,2018-12-20 00:58:00,10.0,30.0,0.6666666666666667
2018/12/20 Сʱ: 1,2018-12-20 01:04:00,2018-12-20 01:57:00,10.0,28.0,0.6428571428571428
2018/12/20 Сʱ: 2,2018-12-20 02:03:00,2018-12-20 02:58:00,10.0,29.0,0.6551724137931034
2018/12/20 Сʱ: 3,2018-12-20 03:03:00,2018-12-20 03:59:00,10.0,29.0,0.6551724137931034
2018/12/20 Сʱ: 4,2018-12-20 04:04:00,2018-12-20 04:57:00,10.0,28.0,0.6428571428571428
2018/12/20 Сʱ: 5,2018-12-20 05:03:00,2018-12-20 05:56:00,10.0,28.0,0.6428571428571428
2018/12/20 Сʱ: 6,2018-12-20 06:02:00,2018-12-20 06:58:00,10.0,29.0,0.6551724137931034
2018/12/20 Сʱ: 7,2018-12-20 07:03:00,2018-12-20 07:57:00,9.0,28.0,0.6785714285714286
2018/12/20 Сʱ: 8,2018-12-20 08:04:00,2018-12-20 08:57:00,10.0,28.0,0.6428571428571428
2018/12/20 Сʱ: 9,2018-12-20 09:04:00,2018-12-20 09:59:00,10.0,29.0,0.6551724137931034
2018/12/20 Сʱ: 10,2018-12-20 10:04:00,2018-12-20 10:56:00,10.0,27.0,0.6296296296296297
2018/12/20 Сʱ: 11,2018-12-20 11:02:00,2018-12-20 11:58:00,10.0,29.0,0.6551724137931034
2018/12/20 Сʱ: 12,2018-12-20 12:04:00,2018-12-20 12:54:00,9.0,26.0,0.6538461538461539
2018/12/20 Сʱ: 13,2018-12-20 13:00:00,2018-12-20 13:54:00,10.0,28.0,0.6428571428571428
2018/12/20 Сʱ: 14,2018-12-20 14:01:00,2018-12-20 14:59:00,11.0,30.0,0.6333333333333333
2018/12/20 Сʱ: 15,2018-12-20 15:04:00,2018-12-20 15:56:00,10.0,27.0,0.6296296296296297
2018/12/20 Сʱ: 16,2018-12-20 16:02:00,2018-12-20 16:58:00,10.0,29.0,0.6551724137931034
2018/12/20 Сʱ: 17,2018-12-20 17:03:00,2018-12-20 17:53:00,9.0,26.0,0.6538461538461539
2018/12/20 Сʱ: 18,2018-12-20 18:00:00,2018-12-20 18:59:00,11.0,31.0,0.6451612903225806
2018/12/20 Сʱ: 19,2018-12-20 19:05:00,2018-12-20 19:58:00,10.0,28.0,0.6428571428571428
2018/12/20 Сʱ: 20,2018-12-20 20:03:00,2018-12-20 20:59:00,11.0,29.0,0.6206896551724138
2018/12/20 Сʱ: 21,2018-12-20 21:05:00,2018-12-20 21:57:00,9.0,27.0,0.6666666666666667
2018/12/20 Сʱ: 22,2018-12-20 22:03:00,2018-12-20 22:58:00,10.0,29.0,0.6551724137931034
2018/12/20 Сʱ: 23,2018-12-20 23:04:00,2018-12-20 23:54:00,9.0,26.0,0.6538461538461539
2018/12/21 Сʱ: 0,2018-12-21 00:00:00,2018-12-21 00:57:00,10.0,30.0,0.6666666666666667
2018/12/21 Сʱ: 1,2018-12-21 01:03:00,2018-12-21 01:53:00,10.0,26.0,0.6153846153846154
2018/12/21 Сʱ: 2,2018-12-21 02:00:00,2018-12-21 02:55:00,10.0,29.0,0.6551724137931034
2018/12/21 Сʱ: 3,2018-12-21 03:02:00,2018-12-21 03:58:00,10.0,29.0,0.6551724137931034
2018/12/21 Сʱ: 4,2018-12-21 04:05:00,2018-12-21 04:54:00,9.0,26.0,0.6538461538461539
2018/12/21 Сʱ: 5,2018-12-21 05:00:00,2018-12-21 05:55:00,10.0,29.0,0.6551724137931034
2018/12/21 Сʱ: 6,2018-12-21 06:00:00,2018-12-21 06:54:00,10.0,28.0,0.6428571428571428
2018/12/21 Сʱ: 7,2018-12-21 07:00:00,2018-12-21 07:55:00,10.0,29.0,0.6551724137931034
2018/12/21 Сʱ: 8,2018-12-21 08:01:00,2018-12-21 08:55:00,10.0,28.0,0.6428571428571428
2018/12/21 Сʱ: 9,2018-12-21 09:01:00,2018-12-21 09:54:00,10.0,28.0,0.6428571428571428
2018/12/21 Сʱ: 10,2018-12-21 10:00:00,2018-12-21 10:56:00,10.0,29.0,0.6551724137931034
2018/12/21 Сʱ: 11,2018-12-21 11:02:00,2018-12-21 11:57:00,10.0,29.0,0.6551724137931034
2018/12/21 Сʱ: 12,2018-12-21 12:04:00,2018-12-21 12:58:00,10.0,28.0,0.6428571428571428
2018/12/21 Сʱ: 13,2018-12-21 13:03:00,2018-12-21 13:56:00,10.0,28.0,0.6428571428571428
2018/12/21 Сʱ: 14,2018-12-21 14:03:00,2018-12-21 14:57:00,10.0,28.0,0.6428571428571428
2018/12/21 Сʱ: 15,2018-12-21 15:03:00,2018-12-21 15:54:00,9.0,27.0,0.6666666666666667
2018/12/21 Сʱ: 16,2018-12-21 16:01:00,2018-12-21 16:56:00,10.0,29.0,0.6551724137931034
2018/12/21 Сʱ: 17,2018-12-21 17:02:00,2018-12-21 17:55:00,10.0,28.0,0.6428571428571428
2018/12/21 Сʱ: 18,2018-12-21 18:01:00,2018-12-21 18:53:00,10.0,27.0,0.6296296296296297
2018/12/21 Сʱ: 19,2018-12-21 19:00:00,2018-12-21 19:54:00,9.0,28.0,0.6785714285714286
2018/12/21 Сʱ: 20,2018-12-21 20:01:00,2018-12-21 20:59:00,11.0,30.0,0.6333333333333333
2018/12/21 Сʱ: 21,2018-12-21 21:06:00,2018-12-21 21:59:00,9.0,28.0,0.6785714285714286
2018/12/21 Сʱ: 22,2018-12-21 22:05:00,2018-12-21 22:58:00,10.0,28.0,0.6428571428571428
2018/12/21 Сʱ: 23,2018-12-21 23:03:00,2018-12-21 23:56:00,10.0,28.0,0.6428571428571428
2018/12/22 Сʱ: 0,2018-12-22 00:02:00,2018-12-22 00:55:00,10.0,28.0,0.6428571428571428
2018/12/22 Сʱ: 1,2018-12-22 01:00:00,2018-12-22 01:59:00,11.0,31.0,0.6451612903225806
2018/12/22 Сʱ: 2,2018-12-22 02:05:00,2018-12-22 02:58:00,10.0,28.0,0.6428571428571428
2018/12/22 Сʱ: 3,2018-12-22 03:03:00,2018-12-22 03:58:00,10.0,29.0,0.6551724137931034
2018/12/22 Сʱ: 4,2018-12-22 04:04:00,2018-12-22 04:55:00,10.0,27.0,0.6296296296296297
2018/12/22 Сʱ: 5,2018-12-22 05:01:00,2018-12-22 05:55:00,10.0,28.0,0.6428571428571428
2018/12/22 Сʱ: 6,2018-12-22 06:01:00,2018-12-22 06:58:00,10.0,30.0,0.6666666666666667
2018/12/22 Сʱ: 7,2018-12-22 07:03:00,2018-12-22 07:57:00,10.0,28.0,0.6428571428571428
2018/12/22 Сʱ: 8,2018-12-22 08:03:00,2018-12-22 08:55:00,9.0,27.0,0.6666666666666667
