time,temp,humidity
2018/12/14 23:03,-20.1,0.74 
2018/12/14 23:08,-20.3,0.66 
2018/12/14 23:15,-20.3,0.71 
2018/12/14 23:21,-20.2,0.72 
2018/12/14 23:26,-20.3,0.68 
2018/12/14 23:31,-20.2,0.72 
2018/12/14 23:37,-20.2,0.71 
2018/12/14 23:43,-20.3,0.68 
2018/12/14 23:49,-20.2,0.73 
2018/12/14 23:56,-20.3,0.67 
2018/12/15 0:03,-20.3,0.70 
2018/12/15 0:09,-20.2,0.72 
2018/12/15 0:14,-20.3,0.68 
2018/12/15 0:20,-20.2,0.72 
2018/12/15 0:26,-20.3,0.69 
2018/12/15 0:32,-20.3,0.68 
2018/12/15 0:37,-20.1,0.74 
2018/12/15 0:43,-20.3,0.67 
2018/12/15 0:49,-20.3,0.70 
2018/12/15 0:55,-20.1,0.74 
2018/12/15 1:01,-20.3,0.66 
2018/12/15 1:07,-20.2,0.71 
2018/12/15 1:14,-20.2,0.71 
2018/12/15 1:21,-20.3,0.68 
2018/12/15 1:27,-20.1,0.74 
2018/12/15 1:33,-20.3,0.66 
2018/12/15 1:38,-20.2,0.71 
2018/12/15 1:45,-20.1,0.73 
2018/12/15 1:52,-20.3,0.67 
2018/12/15 1:58,-20.1,0.74 
2018/12/15 2:05,-20.3,0.66 
2018/12/15 2:10,-20.3,0.71 
2018/12/15 2:16,-20.1,0.73 
2018/12/15 2:21,-20.4,0.66 
2018/12/15 2:27,-20.3,0.71 
2018/12/15 2:32,-20.1,0.73 
2018/12/15 2:37,-20.4,0.66 
2018/12/15 2:44,-20.3,0.71 
2018/12/15 2:50,-20.2,0.72 
2018/12/15 2:56,-20.3,0.68 
2018/12/15 3:01,-20.1,0.73 
2018/12/15 3:08,-20.3,0.68 
2018/12/15 3:13,-20.3,0.69 
2018/12/15 3:19,-20.1,0.74 
2018/12/15 3:24,-20.3,0.66 
2018/12/15 3:30,-20.3,0.70 
2018/12/15 3:35,-20.1,0.74 
2018/12/15 3:42,-20.3,0.66 
2018/12/15 3:47,-20.3,0.71 
2018/12/15 3:53,-20.1,0.74 
2018/12/15 3:59,-20.3,0.66 
2018/12/15 4:05,-20.2,0.72 
2018/12/15 4:11,-20.3,0.69 
2018/12/15 4:17,-20.3,0.69 
2018/12/15 4:23,-20.1,0.74 
2018/12/15 4:29,-20.3,0.67 
2018/12/15 4:34,-20.3,0.70 
2018/12/15 4:40,-20.1,0.74 
2018/12/15 4:46,-20.3,0.66 
2018/12/15 4:51,-20.3,0.71 
2018/12/15 4:58,-20.1,0.73 
2018/12/15 5:05,-20.4,0.67 
2018/12/15 5:11,-20.1,0.73 
2018/12/15 5:17,-20.3,0.67 
2018/12/15 5:22,-20.3,0.70 
2018/12/15 5:29,-20.1,0.74 
2018/12/15 5:35,-20.3,0.66 
2018/12/15 5:41,-20.2,0.72 
2018/12/15 5:47,-20.3,0.69 
2018/12/15 5:52,-20.4,0.68 
2018/12/15 5:59,-20.2,0.73 
2018/12/15 6:05,-20.3,0.67 
2018/12/15 6:12,-20.3,0.70 
2018/12/15 6:19,-20.2,0.72 
2018/12/15 6:24,-20.3,0.68 
2018/12/15 6:29,-20.2,0.73 
